Display Name,Time,Op Gas Rate,Op Water Rate,Entity Name,API Number
21-06,07/01/1985 12:00:00 AM,3785.6,0.0,KENAI UNIT,50133100900000
21-06,08/01/1985 12:00:00 AM,3695.6,2.2,KENAI UNIT,50133100900000
21-06,09/01/1985 12:00:00 AM,3701.8,0.0,KENAI UNIT,50133100900000
21-06,10/01/1985 12:00:00 AM,4372.3,2.2,KENAI UNIT,50133100900000
21-06,11/01/1985 12:00:00 AM,5337.7,2.2,KENAI UNIT,50133100900000
21-06,12/01/1985 12:00:00 AM,4947.3,1.0,KENAI UNIT,50133100900000
21-06,01/01/1986 12:00:00 AM,3882.5,1.0,KENAI UNIT,50133100900000
21-06,02/01/1986 12:00:00 AM,3608.2,0.8,KENAI UNIT,50133100900000
21-06,03/01/1986 12:00:00 AM,2766.4,0.5,KENAI UNIT,50133100900000
21-06,04/01/1986 12:00:00 AM,3045.4,0.6,KENAI UNIT,50133100900000
21-06,05/01/1986 12:00:00 AM,1214.0,1.0,KENAI UNIT,50133100900000
21-06,06/01/1986 12:00:00 AM,1137.0,0.3,KENAI UNIT,50133100900000
21-06,07/01/1986 12:00:00 AM,2427.4,1.0,KENAI UNIT,50133100900000
21-06,08/01/1986 12:00:00 AM,3206.6,0.6,KENAI UNIT,50133100900000
21-06,09/01/1986 12:00:00 AM,2421.6,0.5,KENAI UNIT,50133100900000
21-06,10/01/1986 12:00:00 AM,2640.3,0.0,KENAI UNIT,50133100900000
21-06,11/01/1986 12:00:00 AM,4459.1,0.0,KENAI UNIT,50133100900000
21-06,12/01/1986 12:00:00 AM,4574.1,0.6,KENAI UNIT,50133100900000
21-06,01/01/1987 12:00:00 AM,4485.7,0.0,KENAI UNIT,50133100900000
21-06,02/01/1987 12:00:00 AM,4084.6,1.3,KENAI UNIT,50133100900000
21-06,03/01/1987 12:00:00 AM,3909.4,0.0,KENAI UNIT,50133100900000
21-06,04/01/1987 12:00:00 AM,2883.4,0.8,KENAI UNIT,50133100900000
21-06,05/01/1987 12:00:00 AM,3435.7,0.0,KENAI UNIT,50133100900000
21-06,06/01/1987 12:00:00 AM,3395.1,0.0,KENAI UNIT,50133100900000
21-06,07/01/1987 12:00:00 AM,2844.5,0.0,KENAI UNIT,50133100900000
21-06,08/01/1987 12:00:00 AM,2303.1,0.0,KENAI UNIT,50133100900000
21-06,09/01/1987 12:00:00 AM,2657.0,0.0,KENAI UNIT,50133100900000
21-06,10/01/1987 12:00:00 AM,3963.0,0.0,KENAI UNIT,50133100900000
21-06,11/01/1987 12:00:00 AM,4256.9,0.0,KENAI UNIT,50133100900000
21-06,12/01/1987 12:00:00 AM,4339.5,0.0,KENAI UNIT,50133100900000
21-06,01/01/1988 12:00:00 AM,4072.2,0.0,KENAI UNIT,50133100900000
21-06,02/01/1988 12:00:00 AM,3688.8,0.0,KENAI UNIT,50133100900000
21-06,03/01/1988 12:00:00 AM,3594.9,0.0,KENAI UNIT,50133100900000
21-06,04/01/1988 12:00:00 AM,3229.7,0.0,KENAI UNIT,50133100900000
21-06,05/01/1988 12:00:00 AM,2740.8,0.0,KENAI UNIT,50133100900000
21-06,06/01/1988 12:00:00 AM,3446.9,0.2,KENAI UNIT,50133100900000
21-06,07/01/1988 12:00:00 AM,3288.1,0.9,KENAI UNIT,50133100900000
21-06,08/01/1988 12:00:00 AM,3130.6,0.1,KENAI UNIT,50133100900000
21-06,09/01/1988 12:00:00 AM,3518.5,0.7,KENAI UNIT,50133100900000
21-06,10/01/1988 12:00:00 AM,3486.8,0.0,KENAI UNIT,50133100900000
21-06,11/01/1988 12:00:00 AM,3533.2,0.0,KENAI UNIT,50133100900000
21-06,12/01/1988 12:00:00 AM,3138.4,0.0,KENAI UNIT,50133100900000
21-06,01/01/1989 12:00:00 AM,3222.1,0.2,KENAI UNIT,50133100900000
21-06,02/01/1989 12:00:00 AM,3350.4,1.2,KENAI UNIT,50133100900000
21-06,03/01/1989 12:00:00 AM,3311.7,0.0,KENAI UNIT,50133100900000
21-06,04/01/1989 12:00:00 AM,3373.7,0.0,KENAI UNIT,50133100900000
21-06,05/01/1989 12:00:00 AM,2580.4,0.0,KENAI UNIT,50133100900000
21-06,06/01/1989 12:00:00 AM,2809.1,0.0,KENAI UNIT,50133100900000
21-06,07/01/1989 12:00:00 AM,2592.9,0.2,KENAI UNIT,50133100900000
21-06,08/01/1989 12:00:00 AM,2901.2,0.0,KENAI UNIT,50133100900000
21-06,09/01/1989 12:00:00 AM,2546.1,0.0,KENAI UNIT,50133100900000
21-06,10/01/1989 12:00:00 AM,2951.4,0.2,KENAI UNIT,50133100900000
21-06,11/01/1989 12:00:00 AM,3015.0,0.0,KENAI UNIT,50133100900000
21-06,12/01/1989 12:00:00 AM,2151.2,0.0,KENAI UNIT,50133100900000
21-06,01/01/1990 12:00:00 AM,2048.7,0.0,KENAI UNIT,50133100900000
21-06,02/01/1990 12:00:00 AM,2524.6,0.0,KENAI UNIT,50133100900000
21-06,03/01/1990 12:00:00 AM,1346.2,0.0,KENAI UNIT,50133100900000
21-06,04/01/1990 12:00:00 AM,1301.7,0.0,KENAI UNIT,50133100900000
21-06,05/01/1990 12:00:00 AM,831.3,0.0,KENAI UNIT,50133100900000
21-06,06/01/1990 12:00:00 AM,1931.6,0.0,KENAI UNIT,50133100900000
21-06,07/01/1990 12:00:00 AM,1330.8,0.0,KENAI UNIT,50133100900000
21-06,08/01/1990 12:00:00 AM,1522.3,0.0,KENAI UNIT,50133100900000
21-06,09/01/1990 12:00:00 AM,1475.8,0.1,KENAI UNIT,50133100900000
21-06,10/01/1990 12:00:00 AM,1704.3,0.0,KENAI UNIT,50133100900000
21-06,11/01/1990 12:00:00 AM,2672.4,0.1,KENAI UNIT,50133100900000
21-06,12/01/1990 12:00:00 AM,2050.1,1.1,KENAI UNIT,50133100900000
21-06,01/01/1991 12:00:00 AM,1502.9,0.1,KENAI UNIT,50133100900000
21-06,02/01/1991 12:00:00 AM,1548.9,2.0,KENAI UNIT,50133100900000
21-06,03/01/1991 12:00:00 AM,1623.4,0.0,KENAI UNIT,50133100900000
21-06,04/01/1991 12:00:00 AM,1755.6,0.0,KENAI UNIT,50133100900000
21-06,05/01/1991 12:00:00 AM,1441.2,0.0,KENAI UNIT,50133100900000
21-06,06/01/1991 12:00:00 AM,1631.6,0.0,KENAI UNIT,50133100900000
21-06,07/01/1991 12:00:00 AM,1524.3,0.5,KENAI UNIT,50133100900000
21-06,08/01/1991 12:00:00 AM,1648.6,0.3,KENAI UNIT,50133100900000
21-06,09/01/1991 12:00:00 AM,1290.4,0.0,KENAI UNIT,50133100900000
21-06,10/01/1991 12:00:00 AM,1287.0,0.4,KENAI UNIT,50133100900000
21-06,11/01/1991 12:00:00 AM,1164.2,0.6,KENAI UNIT,50133100900000
21-06,12/01/1991 12:00:00 AM,691.2,0.0,KENAI UNIT,50133100900000
21-06,01/01/1992 12:00:00 AM,692.0,0.0,KENAI UNIT,50133100900000
21-06,02/01/1992 12:00:00 AM,1028.5,0.0,KENAI UNIT,50133100900000
21-06,03/01/1992 12:00:00 AM,1468.1,0.0,KENAI UNIT,50133100900000
21-06,04/01/1992 12:00:00 AM,738.7,0.3,KENAI UNIT,50133100900000
21-06,05/01/1992 12:00:00 AM,628.8,0.0,KENAI UNIT,50133100900000
21-06,06/01/1992 12:00:00 AM,540.3,0.0,KENAI UNIT,50133100900000
21-06,07/01/1992 12:00:00 AM,708.7,0.0,KENAI UNIT,50133100900000
